start	end	sentiment	transcription
0:00:00	0:00:25	-0.8	When a week ago today, Mr. Speaker, I asked the House to fix this afternoon, as the occasion for a statement, I feared it would be my hard lot to announce the greatest military disaster in our long history.
0:00:25	0:00:34	0.0	I thought, and some good judges agreed with me, that perhaps 20 or 30,000 men might be re-embarked.
0:00:34	0:00:55	-0.8	But it certainly seemed that the whole of the French First Army and the whole of the British Expeditionary Force north of the Amiens Abdel Gap would be broken up in the open field or else would have to capitulate for lack of food and ammunition.
0:00:55	0:01:07	-0.8	These were the hard and heavy tidings for which I called upon the House and the nation to prepare themselves a week ago.
0:01:07	0:01:30	-0.8	The whole root and core and brain of the British Army on which and around which we were to build and are to build, the great British armies in the later years of the war seemed about to perish upon the field or be led into an ignominious and starving captivity.
0:01:30	0:01:37	-0.8	The enemy attacked us on all sides with great strength and fierceness.
0:01:37	0:01:50	0.1	And their main power, the power of their far more numerous air force, was thrown into the battle or else concentrated upon Dunkirk and the beaches.
0:02:04	0:02:08	-0.8	Pressing in upon the narrow exit, both from the east and from the west, the enemy began to fire with cannon upon the beaches by which alone the shipping could approach or departure. They sold magnetic mines in the channels and seas.
0:02:08	0:02:27	-0.8	They sent repeated waves of hostile aircraft, sometimes more than a hundred strong in one formation, to cast their bombs upon the single pier that remained and upon the sand dunes on which the troops had their only shelter.
0:02:27	0:03:11	-0.7	Their U-boats, one of which were sunk, and their motor launches took the toll of the vast traffic which now began. For four or five days an intense struggle reigned. All their armored divisions, or what was left of them, together with great masses of infantry and artillery, hurled themselves in vain upon the ever-narrowing, ever-contracting appendix within which the British and French armies fought. Meanwhile, the Royal Navy, with the willing help of countless merchant seamen, strained every nerve to embark the British and allied troops.
0:03:11	0:03:19	0.0	220 light warships and fifty other vessels were engaged.
0:03:19	0:03:37	-0.8	They had to operate upon the difficult coast, often in adverse weather, under an almost ceaseless hail of bombs and an increasing concentration of artillery fire. Nor were the seas, as I have said, themselves free from mines and torpedoes.
0:03:37	0:03:57	0.3	It was in conditions such as these that our men carried on with little or no rest for days and nights on end, making trip after trip across the dangerous waters, bringing with them always men whom they had rescued.
0:03:57	0:04:04	0.8	The numbers they have brought back are the measure of their devotion and their courage.
0:04:04	0:04:19	0.5	The hospital ships which brought off many thousands of British and French wounded, being so plainly marked, were a special target for Nazi bombers, but the men and women on board them never faltered in their duty.
0:04:19	0:04:45	0.1	Meanwhile, the Royal Air Force, which had already been intervening in the battle, so far as its range would allow, from our home bases, now used part of its main metropolitan fighter strength and struck at the German bombers and at the fighters which in large numbers protected them.
0:04:45	0:04:49	-0.8	This struggle was protracted and fierce.
0:04:49	0:04:52	0.8	Suddenly the demons cleared.
0:04:52	0:04:58	0.1	The crash and thunder, ants for the moment, but only for the moment, died away.
0:04:58	0:05:18	1.0	A miracle of deliverance achieved by valour, by perseverance, by perfect discipline, by thoughtless service, by resource, by skill, by unconquerable fidelity, it manifests to us all.
0:05:18	0:05:24	0.25	The enemy was hurled back by the retreating British troops.
0:05:24	0:05:31	0.25	They were so roughly handled that he did not carry their departure seriously.
0:05:31	0:05:52	0.25	Sir, we must be very careful not to assign to this deliverance the attributes of a victory. Wars are not won by evacuations. But there was a victory inside this deliverance, which should be noted. It was gained by the Air Force.
0:05:52	0:06:02	-0.5	Many of our soldiers coming back have not seen the Air Force at work. They saw only the bombers, which escaped its protective attack.
0:06:02	0:06:05	0.3	They underrated its achievements.
0:06:05	0:06:06	0.3	I've heard much talk of this, and that is why I go out of my way to say this. which escaped its protective attack. They underrated its achievements.
0:06:06	0:06:09	0.0	I've heard much talk of this.
0:06:09	0:06:13	0.2	And that is why I go out of my way to say this.
0:06:13	0:06:15	0.0	I will tell you about it.
0:06:15	0:06:21	0.5	This was a great trial of strength between the British and German air forces.
0:06:21	0:06:39	-0.9	Can you conceive a greater objective for the Germans in the air than to make evacuation from these beaches impossible, and to sink all these ships which were displayed almost to the extent of thousands.
0:06:39	0:06:46	-0.8	Could there have been an objective of greater military importance and significance for the whole purpose of the wars of this.
0:06:46	0:06:53	-0.7	They tried hard and they were beaten back. They were frustrated in their task.
0:06:53	0:07:03	0.3	We got the army away and they have paid fourfold They were frustrated in their task. We got the army away and they have paid fourfold for any losses which they have inflicted.
0:07:03	0:07:20	0.8	Sir, when we consider how much greater would be our advantage in defending the air above this island against an overseas attack, I must say that I find in these facts a sure basis upon which practical and reassuring thoughts may rest.
0:07:20	0:07:38	-0.2	I will pay my tribute to these young airmen, the great French army was very largely, for the time being, cast back and disturbed by the onrush of a few thousands of armoured vehicles.
0:07:38	0:07:53	0.7	May it not also be that the cause of civilization itself will be defended by the skill and devotion of a few thousand airmen.
0:07:53	0:08:01	0.6	There never has been, I suppose, in all the world, in all the history of war, such an opportunity for use.
0:08:01	0:09:13	0.1	The Knights of the Round Table, the Crusaders, all fall back into the past, not only distant but pro se. These young men going forth every morn to guard their native land and all that we stand for holding in their hands these instruments of colossal and shattering power of whom it may be said morn to guard their native land and all that we stand for, holding in their hands these instruments of colossal and shattering power, of whom it may be said that every morn brought forth a noble chance, and every chance brought forth a noble night, deserve our gratitude, gratitude and to all the brave men in so many ways and on so many occasions are ready and continue ready to give life and all for their native land. Nevertheless, our thankfulness at the escape of our army and so many men whose loved ones have passed through an agonizing week, but not blind us to the fact that what happened in France and Belgium is a colossal military disaster.
0:09:14	0:09:54	-0.8	The French army has been weakened, the Belgian army has been lost, a large part of those fortified lines upon which so much faith has been reposed is gone many valuable mining districts and factories have passed into the enemy's possession the whole of the channel ports, ironies hands with all the tragic consequences that follow from that and we must expect another blow to be struck almost immediately at us or at France we are told, sir, that Herr Hitler had a plan for invading the British Isles.
0:09:54	0:10:55	0.7	This has often been thought of before. When Napoleon laid boulogne for a year with his flat bottom boats and his grand army army he was told by someone there are bitter weeds in England there are certainly a great many more of them since the british expeditionary force returned sir i have myself full confidence that if all do their duty, if nothing is neglected, and if the best arrangements are made, as they are being made made we shall prove ourselves once more able to defend our island home to ride out the storm of war and to outlive the menace of tyranny, if necessary for years if necessary alone at any rate that is what we are going to try to do that is the resolve of his majesty's government every man of them that is the will of going to try to do. That is the resolve of His Majesty's government, every man of them.
0:10:55	0:10:58	0.5	That is the will of Parliament and the nation.
0:10:58	0:11:12	0.7	The British Empire and the French Republic, linked together in their cause and in their need,ish empire and the french republic linked together in their cause and in their need will defend to the death their native soil aiding each other like good comrades to the utmost of their strength.
0:11:12	0:11:14	0.7	We shall go on to the end.
0:11:15	0:11:26	0.8	We shall fight in France. We shall fight on the seas and oceans we shall fight with growing confidence and growing strength in the air we shall defend our island whatever the cost may be we shall fight with growing confidence and growing strength in the air.
0:11:26	0:11:30	0.8	We shall defend our island, whatever the cost may be.
0:11:30	0:11:32	0.7	We shall fight on the beaches.
