word	count
shall	13
british	12
upon	11
army	10
air	9
fight	8
french	7
many	7
men	7
back	6
every	6
force	6
great	6
may	6
strength	6
would	6
island	5
power	5
whole	5
beaches	4
brought	4
defend	4
enemy	4
forth	4
growing	4
much	4
native	4
seas	4
sir	4
us	4
almost	3
attack	3
away	3
bombers	3
cause	3
colossal	3
confidence	3
deliverance	3
empire	3
france	3
go	3
going	3
good	3
greater	3
hands	3
hard	3
land	3
large	3
made	3
military	3
moment	3
morn	3
must	3
never	3
part	3
said	3
say	3
struggle	3
thousands	3
together	3
troops	3
war	3
week	3
achievements	2
ago	2
airmen	2
alone	2
armies	2
artillery	2
battle	2
began	2
bombs	2
build	2
carry	2
cast	2
certainly	2
chance	2
cost	2
could	2
days	2
departure	2
devotion	2
disaster	2
duty	2
else	2
end	2
escaped	2
expeditionary	2
far	2
field	2
fire	2
fourfold	2
frustrated	2
german	2
got	2
government	2
gratitude	2
guard	2
heard	2
history	2
